# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-8 -8 0 ffffff
-7 -8 0 ffffff
-6 -8 0 ffffff
-8 -7 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-8 -6 0 ffffff
-7 -6 0 ffffff
-6 -6 0 ffffff
-8 -5 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-8 -2 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-8 -1 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-8 -8 1 ffffff
-7 -8 1 00ff00
-6 -8 1 ffffff
-8 -7 1 ffffff
-6 -7 1 ffffff
-8 -6 1 ffffff
-6 -6 1 ffffff
-8 -5 1 ffffff
-6 -5 1 ffffff
-8 -4 1 ffffff
-6 -4 1 ffffff
-8 -3 1 ffffff
-6 -3 1 ffffff
-8 -2 1 ffffff
-6 -2 1 ffffff
-8 -1 1 ffffff
-6 -1 1 ffffff
-8 -8 2 ffffff
-7 -8 2 00ff00
-6 -8 2 ffffff
-8 -7 2 ffffff
-6 -7 2 ffffff
-8 -6 2 ffffff
-6 -6 2 ffffff
-8 -5 2 ffffff
-6 -5 2 ffffff
-8 -4 2 ffffff
-6 -4 2 ffffff
-8 -3 2 ffffff
-6 -3 2 ffffff
-8 -2 2 ffffff
-6 -2 2 ffffff
-8 -1 2 ffffff
-6 -1 2 ffffff
-8 -8 3 ffffff
-7 -8 3 ffffff
-6 -8 3 ffffff
-8 -7 3 ffffff
-7 -7 3 ffffff
-6 -7 3 ffffff
-8 -6 3 ffffff
-7 -6 3 ffffff
-6 -6 3 ffffff
-8 -5 3 ffffff
-7 -5 3 ffffff
-6 -5 3 ffffff
-8 -4 3 ffffff
-7 -4 3 ffffff
-6 -4 3 ffffff
-8 -3 3 ffffff
-7 -3 3 ffffff
-6 -3 3 ffffff
-8 -2 3 ffffff
-7 -2 3 ffffff
-6 -2 3 ffffff
-8 -1 3 ffffff
-7 -1 3 ffffff
-6 -1 3 ffffff
-8 0 0 ffffff
-7 0 0 ffffff
-6 0 0 ffffff
-8 1 0 ffffff
-7 1 0 ffffff
-6 1 0 ffffff
-8 2 0 ffffff
-7 2 0 ffffff
-6 2 0 ffffff
-8 3 0 ffffff
-7 3 0 ffffff
-6 3 0 ffffff
-8 4 0 ffffff
-7 4 0 ffffff
-6 4 0 ffffff
-8 5 0 ffffff
-7 5 0 ffffff
-6 5 0 ffffff
-8 6 0 ffffff
-7 6 0 ffffff
-6 6 0 ffffff
-8 7 0 ffffff
-7 7 0 ffffff
-6 7 0 ffffff
-8 0 1 ffffff
-6 0 1 ffffff
-8 1 1 ffffff
-6 1 1 ffffff
-8 2 1 ffffff
-6 2 1 ffffff
-8 3 1 ffffff
-6 3 1 ffffff
-8 4 1 ffffff
-6 4 1 ffffff
-8 5 1 ffffff
-6 5 1 ffffff
-8 6 1 ffffff
-6 6 1 ffffff
-8 7 1 ffffff
-7 7 1 ff0000
-6 7 1 ffffff
-8 0 2 ffffff
-6 0 2 ffffff
-8 1 2 ffffff
-6 1 2 ffffff
-8 2 2 ffffff
-6 2 2 ffffff
-8 3 2 ffffff
-6 3 2 ffffff
-8 4 2 ffffff
-6 4 2 ffffff
-8 5 2 ffffff
-6 5 2 ffffff
-8 6 2 ffffff
-6 6 2 ffffff
-8 7 2 ffffff
-7 7 2 ff0000
-6 7 2 ffffff
-8 0 3 ffffff
-7 0 3 ffffff
-6 0 3 ffffff
-8 1 3 ffffff
-7 1 3 ffffff
-6 1 3 ffffff
-8 2 3 ffffff
-7 2 3 ffffff
-6 2 3 ffffff
-8 3 3 ffffff
-7 3 3 ffffff
-6 3 3 ffffff
-8 4 3 ffffff
-7 4 3 ffffff
-6 4 3 ffffff
-8 5 3 ffffff
-7 5 3 ffffff
-6 5 3 ffffff
-8 6 3 ffffff
-7 6 3 ffffff
-6 6 3 ffffff
-8 7 3 ffffff
-7 7 3 ffffff
-6 7 3 ffffff
